zone_id,zone_nom,taux_utilisation,nb_pylones_satures,nb_pylones_total,anomaly_score,statut,timestamp
59,Djerba Houmt Souk,6.19,0,2,1.0000,NORMAL,2026-04-15T22:00:18.111845
66,Kebili Centre,10.20,0,2,0.8860,NORMAL,2026-04-15T22:00:25.578309
50,Kairouan Nord,5.14,0,2,0.9000,NORMAL,2026-04-15T22:00:32.069155
52,Sidi Bouzid Centre,5.47,0,2,0.8140,NORMAL,2026-04-15T22:00:37.348415
56,Gabès Centre,9.33,0,3,1.0000,NORMAL,2026-04-15T22:00:43.148721
27,Tunis El Menzah,3.12,0,2,1.0000,NORMAL,2026-04-15T22:00:49.295876
47,Monastir Aéroport,5.15,0,2,1.0000,NORMAL,2026-04-15T22:00:55.735572
36,Kelibia,7.54,0,2,0.8850,NORMAL,2026-04-15T22:01:01.884954
45,Sousse Khezama,4.89,0,2,1.0000,NORMAL,2026-04-15T22:01:05.993791
37,Zaghouan,9.03,0,2,1.0000,NORMAL,2026-04-15T22:01:11.037247
34,Nabeul Centre,5.21,0,2,1.0000,NORMAL,2026-04-15T22:01:17.387127
38,Bizerte Centre,7.88,0,3,1.0000,NORMAL,2026-04-15T22:01:22.449548
31,Ben Arous Centre,3.10,0,2,1.0000,NORMAL,2026-04-15T22:01:26.380389
41,Jendouba Centre,6.07,0,2,1.0000,NORMAL,2026-04-15T22:01:31.121822
40,Béja Centre,4.88,0,2,1.0000,NORMAL,2026-04-15T22:01:35.08223
24,Tunis Centre,6.90,0,4,0.8690,NORMAL,2026-04-15T22:01:39.659275
32,Ben Arous Rades,4.45,0,2,0.8810,NORMAL,2026-04-15T22:01:46.083058
43,Siliana Centre,9.11,0,2,1.0000,NORMAL,2026-04-15T22:01:52.483354
28,Tunis Bab Bhar,7.09,1,3,0.8980,ATTENTION,2026-04-15T22:01:58.176329
46,Monastir Centre,7.25,1,2,1.0000,ATTENTION,2026-04-15T22:02:03.910627
39,Bizerte Menzel,7.97,0,2,1.0000,NORMAL,2026-04-15T22:02:10.048553
42,Kef Centre,9.77,0,2,1.0000,NORMAL,2026-04-15T22:02:16.548111
26,Tunis Les Lacs,5.99,0,3,1.0000,NORMAL,2026-04-15T22:02:22.447876
35,Hammamet,5.64,0,3,1.0000,NORMAL,2026-04-15T22:02:26.803381
25,Tunis La Marsa,4.36,0,3,0.8910,NORMAL,2026-04-15T22:02:31.362917
29,Ariana Centre,8.18,1,3,0.8950,ATTENTION,2026-04-15T22:02:36.098897
48,Mahdia Centre,5.40,0,2,0.8370,NORMAL,2026-04-15T22:02:41.633776
33,Manouba Centre,7.19,0,2,1.0000,NORMAL,2026-04-15T22:02:47.38394
44,Sousse Centre,7.19,0,3,0.8850,NORMAL,2026-04-15T22:02:53.76572
30,Ariana Riadh,4.89,0,2,1.0000,NORMAL,2026-04-15T22:02:59.720392
60,Djerba Midoun,9.90,0,3,0.8990,NORMAL,2026-04-15T22:03:05.829637
54,Sfax Route Tunis,5.48,0,2,0.8540,NORMAL,2026-04-15T22:03:11.68564
57,Gabès Sud,8.00,1,2,0.8740,ATTENTION,2026-04-15T22:03:16.522596
64,Gafsa Centre,2.62,0,2,1.0000,NORMAL,2026-04-15T22:03:21.162035
58,Médenine Centre,7.91,0,2,1.0000,NORMAL,2026-04-15T22:03:24.955324
55,Sfax Sakiet,7.04,0,2,1.0000,NORMAL,2026-04-15T22:03:28.888582
61,Djerba Aéroport,8.96,0,2,1.0000,NORMAL,2026-04-15T22:03:33.472778
63,Tataouine Centre,11.29,1,2,1.0000,ATTENTION,2026-04-15T22:03:37.714576
49,Kairouan Centre,5.09,0,3,1.0000,NORMAL,2026-04-15T22:03:44.759667
65,Tozeur Centre,11.23,1,2,1.0000,ATTENTION,2026-04-15T22:03:53.169334
53,Sfax Centre,5.23,0,3,1.0000,NORMAL,2026-04-15T22:04:02.664547
51,Kasserine Centre,1.85,0,2,1.0000,NORMAL,2026-04-15T22:04:09.711111
62,Zarzis,6.11,0,2,1.0000,NORMAL,2026-04-15T22:04:17.277402
59,Djerba Houmt Souk,5.38,0,2,0.8480,NORMAL,2026-04-15T22:04:24.464368
66,Kebili Centre,9.33,0,2,1.0000,NORMAL,2026-04-15T22:04:33.214915
50,Kairouan Nord,10.12,0,2,1.0000,NORMAL,2026-04-15T22:04:41.603093
52,Sidi Bouzid Centre,8.59,0,2,0.8860,NORMAL,2026-04-15T22:04:48.209173
56,Gabès Centre,8.15,0,3,1.0000,NORMAL,2026-04-15T22:04:54.494938
31,Ben Arous Centre,5.95,0,2,1.0000,NORMAL,2026-04-15T22:05:51.515403
41,Jendouba Centre,7.78,0,2,0.8850,NORMAL,2026-04-15T22:05:57.881063
40,Béja Centre,4.49,0,2,1.0000,NORMAL,2026-04-15T22:06:04.624081
24,Tunis Centre,5.89,0,4,0.8910,NORMAL,2026-04-15T22:06:11.010602
32,Ben Arous Rades,4.08,0,2,1.0000,NORMAL,2026-04-15T22:06:17.611454
43,Siliana Centre,10.92,1,2,0.9010,ATTENTION,2026-04-15T22:06:24.858672
28,Tunis Bab Bhar,7.19,0,3,0.8950,NORMAL,2026-04-15T22:06:31.577633
46,Monastir Centre,6.51,0,2,1.0000,NORMAL,2026-04-15T22:06:37.839765
39,Bizerte Menzel,8.24,0,2,1.0000,NORMAL,2026-04-15T22:06:44.197507
42,Kef Centre,6.87,0,2,1.0000,NORMAL,2026-04-15T22:06:50.625042
26,Tunis Les Lacs,5.49,0,3,0.8500,NORMAL,2026-04-15T22:06:57.131786
35,Hammamet,7.16,0,3,1.0000,NORMAL,2026-04-15T22:07:04.777822
25,Tunis La Marsa,7.12,0,3,0.8970,NORMAL,2026-04-15T22:07:11.704151
29,Ariana Centre,6.78,0,3,1.0000,NORMAL,2026-04-15T22:07:18.03594
48,Mahdia Centre,6.62,1,2,0.8420,ATTENTION,2026-04-15T22:07:24.423298
33,Manouba Centre,3.70,0,2,1.0000,NORMAL,2026-04-15T22:07:30.706886
44,Sousse Centre,6.34,0,3,1.0000,NORMAL,2026-04-15T22:07:38.294792
30,Ariana Riadh,5.43,0,2,1.0000,NORMAL,2026-04-15T22:07:45.198819
27,Tunis El Menzah,4.40,0,2,1.0000,NORMAL,2026-04-15T22:07:51.68902
47,Monastir Aéroport,5.07,0,2,1.0000,NORMAL,2026-04-15T22:07:57.863424
36,Kelibia,10.21,1,2,0.8590,ATTENTION,2026-04-15T22:08:05.160419
45,Sousse Khezama,2.32,0,2,1.0000,NORMAL,2026-04-15T22:08:12.189736
37,Zaghouan,2.79,0,2,0.9050,NORMAL,2026-04-15T22:08:19.612417
34,Nabeul Centre,4.44,0,2,0.8960,NORMAL,2026-04-15T22:08:27.653886
38,Bizerte Centre,8.08,0,3,1.0000,NORMAL,2026-04-15T22:08:35.219723
60,Djerba Midoun,10.12,0,3,0.8280,NORMAL,2026-04-15T22:08:41.460316
54,Sfax Route Tunis,6.72,0,2,1.0000,NORMAL,2026-04-15T22:08:48.022348
57,Gabès Sud,8.06,0,2,1.0000,NORMAL,2026-04-15T22:08:54.456136
64,Gafsa Centre,4.45,0,2,0.8800,NORMAL,2026-04-15T22:09:00.710922
58,Médenine Centre,9.32,1,2,0.8720,ATTENTION,2026-04-15T22:09:07.112067
55,Sfax Sakiet,6.56,0,2,1.0000,NORMAL,2026-04-15T22:09:13.207373
61,Djerba Aéroport,9.05,0,2,1.0000,NORMAL,2026-04-15T22:09:19.496407
63,Tataouine Centre,6.89,0,2,0.8390,NORMAL,2026-04-15T22:09:26.462227
49,Kairouan Centre,12.12,1,3,1.0000,ATTENTION,2026-04-15T22:09:32.775312
65,Tozeur Centre,12.13,1,2,0.8920,ATTENTION,2026-04-15T22:09:40.742744
53,Sfax Centre,3.68,0,3,1.0000,NORMAL,2026-04-15T22:09:46.894997
51,Kasserine Centre,8.57,1,2,0.8280,ATTENTION,2026-04-15T22:09:53.408934
62,Zarzis,4.42,0,2,1.0000,NORMAL,2026-04-15T22:09:59.994974
59,Djerba Houmt Souk,6.57,0,2,1.0000,NORMAL,2026-04-15T22:10:06.677633
66,Kebili Centre,5.20,0,2,0.8580,NORMAL,2026-04-15T22:10:13.802385
50,Kairouan Nord,7.95,0,2,1.0000,NORMAL,2026-04-15T22:10:20.034453
52,Sidi Bouzid Centre,4.28,0,2,1.0000,NORMAL,2026-04-15T22:10:26.528726
56,Gabès Centre,9.12,0,3,1.0000,NORMAL,2026-04-15T22:10:32.534536
46,Monastir Centre,6.70,0,2,1.0000,NORMAL,2026-04-15T22:10:48.959358
39,Bizerte Menzel,11.15,1,2,1.0000,ATTENTION,2026-04-15T22:10:55.627395
42,Kef Centre,5.12,0,2,1.0000,NORMAL,2026-04-15T22:11:02.371674
26,Tunis Les Lacs,5.31,0,3,1.0000,NORMAL,2026-04-15T22:11:08.636135
35,Hammamet,10.24,1,3,0.8960,ATTENTION,2026-04-15T22:11:15.958809
25,Tunis La Marsa,6.50,1,3,0.8560,ATTENTION,2026-04-15T22:11:22.875916
29,Ariana Centre,6.46,0,3,1.0000,NORMAL,2026-04-15T22:11:29.142104
48,Mahdia Centre,7.26,0,2,1.0000,NORMAL,2026-04-15T22:11:35.433253
33,Manouba Centre,5.77,0,2,0.8320,NORMAL,2026-04-15T22:11:42.264334
44,Sousse Centre,9.79,0,3,1.0000,NORMAL,2026-04-15T22:11:48.87324
30,Ariana Riadh,4.98,0,2,1.0000,NORMAL,2026-04-15T22:11:55.660247
27,Tunis El Menzah,5.00,0,2,1.0000,NORMAL,2026-04-15T22:12:02.633782
47,Monastir Aéroport,7.31,0,2,1.0000,NORMAL,2026-04-15T22:12:08.877394
36,Kelibia,7.01,0,2,1.0000,NORMAL,2026-04-15T22:12:15.657451
45,Sousse Khezama,8.28,1,2,0.8390,ATTENTION,2026-04-15T22:12:22.872231
37,Zaghouan,9.68,1,2,0.8460,ATTENTION,2026-04-15T22:12:30.467038
34,Nabeul Centre,9.09,1,2,1.0000,ATTENTION,2026-04-15T22:12:36.660971
38,Bizerte Centre,8.63,0,3,0.8940,NORMAL,2026-04-15T22:12:43.451815
31,Ben Arous Centre,2.92,0,2,1.0000,NORMAL,2026-04-15T22:12:49.9308
41,Jendouba Centre,6.09,0,2,1.0000,NORMAL,2026-04-15T22:12:56.53799
40,Béja Centre,8.55,0,2,1.0000,NORMAL,2026-04-15T22:13:05.801104
24,Tunis Centre,8.18,0,4,1.0000,NORMAL,2026-04-15T22:13:14.842545
32,Ben Arous Rades,4.29,0,2,1.0000,NORMAL,2026-04-15T22:13:22.690115
43,Siliana Centre,7.59,0,2,0.8970,NORMAL,2026-04-15T22:13:31.527348
28,Tunis Bab Bhar,8.11,0,3,1.0000,NORMAL,2026-04-15T22:13:38.712233
60,Djerba Midoun,7.44,0,3,1.0000,NORMAL,2026-04-15T22:13:46.045432
54,Sfax Route Tunis,5.22,0,2,1.0000,NORMAL,2026-04-15T22:13:54.256107
57,Gabès Sud,6.40,0,2,0.9000,NORMAL,2026-04-15T22:14:01.751005
64,Gafsa Centre,9.18,1,2,0.9020,ATTENTION,2026-04-15T22:14:08.459302
58,Médenine Centre,5.96,0,2,0.8370,NORMAL,2026-04-15T22:14:16.885787
55,Sfax Sakiet,5.19,0,2,0.8850,NORMAL,2026-04-15T22:14:23.905888
61,Djerba Aéroport,7.31,0,2,1.0000,NORMAL,2026-04-15T22:14:30.567488
63,Tataouine Centre,11.23,0,2,1.0000,NORMAL,2026-04-15T22:14:37.264718
49,Kairouan Centre,9.72,0,3,1.0000,NORMAL,2026-04-15T22:14:43.618925
65,Tozeur Centre,9.18,0,2,0.8900,NORMAL,2026-04-15T22:14:50.20154
53,Sfax Centre,5.75,0,3,0.8830,NORMAL,2026-04-15T22:14:56.640304
51,Kasserine Centre,4.48,0,2,0.8710,NORMAL,2026-04-15T22:15:03.326961
62,Zarzis,6.73,0,2,1.0000,NORMAL,2026-04-15T22:15:08.334821
59,Djerba Houmt Souk,9.80,0,2,1.0000,NORMAL,2026-04-15T22:15:15.15754
66,Kebili Centre,8.39,0,2,0.8400,NORMAL,2026-04-15T22:15:21.851053
50,Kairouan Nord,6.22,0,2,1.0000,NORMAL,2026-04-15T22:15:25.86858
52,Sidi Bouzid Centre,8.66,0,2,1.0000,NORMAL,2026-04-15T22:15:29.237546
56,Gabès Centre,9.61,0,3,0.8650,NORMAL,2026-04-15T22:15:32.609909
48,Mahdia Centre,3.54,0,2,1.0000,NORMAL,2026-04-15T22:15:50.021974
33,Manouba Centre,4.82,0,2,0.8850,NORMAL,2026-04-15T22:15:59.12696
44,Sousse Centre,9.33,0,3,1.0000,NORMAL,2026-04-15T22:16:07.088443
30,Ariana Riadh,3.26,0,2,0.9060,NORMAL,2026-04-15T22:16:13.463139
27,Tunis El Menzah,5.59,0,2,1.0000,NORMAL,2026-04-15T22:16:22.928052
47,Monastir Aéroport,5.01,0,2,1.0000,NORMAL,2026-04-15T22:16:29.869506
36,Kelibia,8.66,0,2,1.0000,NORMAL,2026-04-15T22:16:39.488704
45,Sousse Khezama,6.55,0,2,0.8860,NORMAL,2026-04-15T22:16:46.966996
37,Zaghouan,4.79,0,2,1.0000,NORMAL,2026-04-15T22:16:55.168941
34,Nabeul Centre,5.34,0,2,0.8590,NORMAL,2026-04-15T22:17:02.016695
38,Bizerte Centre,8.39,0,3,0.8830,NORMAL,2026-04-15T22:17:10.080411
31,Ben Arous Centre,5.69,0,2,1.0000,NORMAL,2026-04-15T22:17:17.630388
41,Jendouba Centre,8.22,0,2,0.9030,NORMAL,2026-04-15T22:17:24.405323
40,Béja Centre,7.37,0,2,1.0000,NORMAL,2026-04-15T22:17:32.205979
24,Tunis Centre,8.41,1,4,0.8560,NORMAL,2026-04-15T22:17:38.772593
32,Ben Arous Rades,5.65,0,2,1.0000,NORMAL,2026-04-15T22:17:45.240766
43,Siliana Centre,5.65,0,2,1.0000,NORMAL,2026-04-15T22:17:53.265813
28,Tunis Bab Bhar,8.02,0,3,1.0000,NORMAL,2026-04-15T22:18:00.157369
46,Monastir Centre,6.86,0,2,1.0000,NORMAL,2026-04-15T22:18:07.188967
39,Bizerte Menzel,6.41,0,2,0.9020,NORMAL,2026-04-15T22:18:13.417946
42,Kef Centre,8.86,0,2,1.0000,NORMAL,2026-04-15T22:18:20.873293
26,Tunis Les Lacs,6.82,0,3,1.0000,NORMAL,2026-04-15T22:18:29.592021
35,Hammamet,4.86,0,3,1.0000,NORMAL,2026-04-15T22:18:36.971526
25,Tunis La Marsa,5.15,0,3,1.0000,NORMAL,2026-04-15T22:18:44.233255
29,Ariana Centre,6.83,0,3,1.0000,NORMAL,2026-04-15T22:18:50.710128
60,Djerba Midoun,11.09,0,3,1.0000,NORMAL,2026-04-15T22:18:57.286365
54,Sfax Route Tunis,2.83,0,2,1.0000,NORMAL,2026-04-15T22:19:05.952158
57,Gabès Sud,3.05,0,2,1.0000,NORMAL,2026-04-15T22:19:12.354066
64,Gafsa Centre,9.32,0,2,1.0000,NORMAL,2026-04-15T22:19:19.826373
58,Médenine Centre,5.99,0,2,0.8760,NORMAL,2026-04-15T22:19:27.939869
55,Sfax Sakiet,7.76,1,2,0.8370,ATTENTION,2026-04-15T22:19:35.017893
61,Djerba Aéroport,7.71,0,2,1.0000,NORMAL,2026-04-15T22:19:44.419008
63,Tataouine Centre,9.76,0,2,1.0000,NORMAL,2026-04-15T22:19:51.585193
49,Kairouan Centre,7.88,0,3,1.0000,NORMAL,2026-04-15T22:19:57.879776
65,Tozeur Centre,9.89,0,2,1.0000,NORMAL,2026-04-15T22:20:04.356413
53,Sfax Centre,4.92,0,3,0.8850,NORMAL,2026-04-15T22:20:10.773207
51,Kasserine Centre,5.51,0,2,1.0000,NORMAL,2026-04-15T22:20:17.77903
62,Zarzis,9.70,0,2,1.0000,NORMAL,2026-04-15T22:20:25.014929
59,Djerba Houmt Souk,8.25,1,2,0.8880,ATTENTION,2026-04-15T22:20:32.916632
66,Kebili Centre,6.59,0,2,0.9060,NORMAL,2026-04-15T22:20:40.64936
50,Kairouan Nord,7.79,1,2,0.8280,ATTENTION,2026-04-15T22:20:46.91243
52,Sidi Bouzid Centre,7.60,0,2,0.9030,NORMAL,2026-04-15T22:20:54.695189
56,Gabès Centre,10.23,0,3,1.0000,NORMAL,2026-04-15T22:21:01.535065
24,Tunis Centre,6.78,1,4,0.8610,NORMAL,2026-04-15T22:21:21.085337
32,Ben Arous Rades,5.48,0,2,1.0000,NORMAL,2026-04-15T22:21:30.560638
43,Siliana Centre,6.50,0,2,0.9040,NORMAL,2026-04-15T22:21:39.928555
28,Tunis Bab Bhar,6.38,0,3,1.0000,NORMAL,2026-04-15T22:21:46.754632
46,Monastir Centre,6.84,0,2,1.0000,NORMAL,2026-04-15T22:21:53.364398
39,Bizerte Menzel,10.02,1,2,0.8840,ATTENTION,2026-04-15T22:21:59.755588
42,Kef Centre,10.51,0,2,1.0000,NORMAL,2026-04-15T22:22:07.613349
26,Tunis Les Lacs,4.94,0,3,1.0000,NORMAL,2026-04-15T22:22:14.560075
35,Hammamet,7.43,0,3,1.0000,NORMAL,2026-04-15T22:22:21.81602
25,Tunis La Marsa,5.36,0,3,0.8800,NORMAL,2026-04-15T22:22:31.014015
29,Ariana Centre,6.84,0,3,0.9040,NORMAL,2026-04-15T22:22:38.493575
48,Mahdia Centre,4.53,0,2,1.0000,NORMAL,2026-04-15T22:22:46.265398
33,Manouba Centre,5.77,0,2,1.0000,NORMAL,2026-04-15T22:22:53.570987
44,Sousse Centre,7.23,0,3,1.0000,NORMAL,2026-04-15T22:23:00.12761
30,Ariana Riadh,3.59,1,2,0.7950,ATTENTION,2026-04-15T22:23:07.09372
27,Tunis El Menzah,0.69,0,2,1.0000,NORMAL,2026-04-15T22:23:14.304218
47,Monastir Aéroport,7.21,0,2,1.0000,NORMAL,2026-04-15T22:23:22.150524
36,Kelibia,6.74,0,2,1.0000,NORMAL,2026-04-15T22:23:29.725071
45,Sousse Khezama,5.56,0,2,1.0000,NORMAL,2026-04-15T22:23:36.946485
37,Zaghouan,6.28,0,2,0.8990,NORMAL,2026-04-15T22:23:43.873474
34,Nabeul Centre,6.15,0,2,1.0000,NORMAL,2026-04-15T22:23:50.728313
38,Bizerte Centre,9.27,0,3,1.0000,NORMAL,2026-04-15T22:23:58.053146
31,Ben Arous Centre,5.74,0,2,1.0000,NORMAL,2026-04-15T22:24:05.016898
41,Jendouba Centre,2.13,0,2,1.0000,NORMAL,2026-04-15T22:24:12.161515
40,Béja Centre,3.34,0,2,1.0000,NORMAL,2026-04-15T22:24:18.915881
60,Djerba Midoun,10.53,0,3,1.0000,NORMAL,2026-04-15T22:24:25.538225
54,Sfax Route Tunis,5.13,0,2,1.0000,NORMAL,2026-04-15T22:24:32.795207
57,Gabès Sud,5.84,0,2,0.8480,NORMAL,2026-04-15T22:24:39.032638
64,Gafsa Centre,9.76,1,2,1.0000,ATTENTION,2026-04-15T22:24:45.593444
58,Médenine Centre,5.63,1,2,0.7530,ATTENTION,2026-04-15T22:24:51.709287
55,Sfax Sakiet,5.60,0,2,1.0000,NORMAL,2026-04-15T22:24:57.881735
61,Djerba Aéroport,10.22,0,2,1.0000,NORMAL,2026-04-15T22:25:04.161185
63,Tataouine Centre,7.62,0,2,1.0000,NORMAL,2026-04-15T22:25:11.220179
49,Kairouan Centre,12.63,0,3,0.9060,NORMAL,2026-04-15T22:25:17.265086
65,Tozeur Centre,11.59,0,2,1.0000,NORMAL,2026-04-15T22:25:23.422546
53,Sfax Centre,3.76,0,3,1.0000,NORMAL,2026-04-15T22:25:29.427348
51,Kasserine Centre,5.30,0,2,0.8770,NORMAL,2026-04-15T22:25:35.867561
62,Zarzis,2.43,0,2,1.0000,NORMAL,2026-04-15T22:25:42.062902
59,Djerba Houmt Souk,6.33,0,2,1.0000,NORMAL,2026-04-15T22:25:48.558256
66,Kebili Centre,7.73,0,2,0.8910,NORMAL,2026-04-15T22:25:54.925953
50,Kairouan Nord,5.08,0,2,1.0000,NORMAL,2026-04-15T22:26:01.697544
52,Sidi Bouzid Centre,5.80,0,2,1.0000,NORMAL,2026-04-15T22:26:08.70101
56,Gabès Centre,8.13,0,3,0.8940,NORMAL,2026-04-15T22:26:16.919313
